patron_id,name,email,phone,address,deposit
779760,Garth Rafe,grafe0@instagram.com,2854704305,0187 Towne Court,305.18
858027,Field Cubbin,fcubbin1@reverbnation.com,8199497122,26 Delladonna Avenue,347.34
16372,Kerry Cumes,kcumes2@google.cn,3979120276,257 Debs Point,210.17
563632,Hoebart Mehew,hmehew3@sciencedaily.com,4359118447,042 Independence Court,156.32
29333,Nial Filimore,nfilimore4@sbwire.com,5107697011,62323 Paget Street,371.06
877495,Abra Saunier,asaunier5@walmart.com,7279201665,5595 Golf View Lane,363.3
375683,Dionne Capron,dcapron6@microsoft.com,3416817633,05 Aberg Point,467.1
365689,Dorian Seathwright,dseathwright7@nifty.com,6812751512,11213 Springs Street,186.22
820568,Daffie Mastrantone,dmastrantone8@nba.com,2269183987,82 Mayer Drive,456.09
66042,Lisetta Atwill,latwill9@chicagotribune.com,9619005339,17 Algoma Court,193.31
997339,Norrie Bugge,nbuggea@hibu.com,7516322852,46512 Service Plaza,210.04
936448,Gavan Gribbins,ggribbinsb@ibm.com,5246783301,52500 Marquette Point,487.78
576345,Corey Mallard,cmallardc@imdb.com,5601862567,37234 Delladonna Drive,219.33
176283,Jannel Wille,jwilled@flavors.me,9455955459,77 Oak Valley Lane,379.09
412079,Rafaela Oulett,roulette@si.edu,8065370921,5472 Anniversary Point,458.48
492976,Thea Corsan,tcorsanf@vinaora.com,4087732065,46 Iowa Trail,473.28
490468,Wilie Kopec,wkopecg@nhs.uk,7175270561,15 Oakridge Court,226.14
372295,Betta Sustins,bsustinsh@businesswire.com,4536964085,52052 Arizona Place,402.77
969340,Leesa Phipson,lphipsoni@zimbio.com,9795975580,3 Moose Parkway,363.97
97081,Farrel Morrill,fmorrillj@nbcnews.com,2411429647,628 Ridge Oak Parkway,380.74
294343,Marcile Redan,mredank@wufoo.com,9318552069,5 Dawn Way,255.45
909177,Bambie Sinson,bsinsonl@google.com.au,7555195337,2660 Delaware Alley,279.94
897320,Boyd Sweeney,bsweeneym@mozilla.com,3502688752,343 Sommers Park,406.48
466672,Roseanne Mouncey,rmounceyn@alibaba.com,1324999790,48592 Esch Court,495.06
992686,Nan Wince,nwinceo@reference.com,6655752597,0155 Fair Oaks Hill,407.26
859185,Zahara Clewes,zclewesp@blogtalkradio.com,7726087487,0 Clove Parkway,201.36
265670,Kev Stockney,kstockneyq@hud.gov,5728884770,6 Duke Lane,369.32
740819,Brett Lyness,blynessr@bandcamp.com,8745874834,9129 Iowa Parkway,199.83
119161,Miguela Eldin,meldins@xrea.com,3305599467,471 2nd Pass,312.73
859679,Abba Torbard,atorbardt@miitbeian.gov.cn,5317167288,742 Delaware Terrace,182.09
638782,Petr Fahy,pfahyu@chron.com,7094939096,0 Jackson Trail,287.93
86927,Pierce Callister,pcallisterv@yolasite.com,6928156289,65 Michigan Center,183.44
525055,Teodorico Salerno,tsalernow@blog.com,5079979573,33434 Fuller Parkway,197.54
280586,Aileen Munning,amunningx@un.org,2719796351,1942 Colorado Trail,204.1
307213,Monika Heskins,mheskinsy@seesaa.net,5477842472,6203 Onsgard Crossing,409.75
740183,Katrine Vogt,kvogtz@npr.org,1461204714,157 Butterfield Trail,493.08
744348,Pernell Lacelett,placelett10@slate.com,8354684431,4 Coolidge Park,319.15
324091,Fidela Mardlin,fmardlin11@tinypic.com,7416692260,73284 Muir Place,345.35
989794,Mahmud Carff,mcarff12@seattletimes.com,2568057004,560 Lerdahl Parkway,488.05
967005,Titus Noorwood,tnoorwood13@woothemes.com,9857815398,36517 Huxley Center,338.43
862649,Burl Juorio,bjuorio14@google.fr,9847414351,97 Holmberg Way,292.1
369318,Geoff Guilford,gguilford15@nba.com,9619007129,2 Logan Hill,234.81
663031,Rice Harden,rharden16@wisc.edu,6499798773,142 Maple Wood Place,310.13
868104,Electra Windham,ewindham17@theglobeandmail.com,3159083170,6750 Transport Trail,218.87
449909,Giacomo Albarez,galbarez18@ehow.com,1502552490,8 Hagan Point,348.3
374231,Alberta Cuckson,acuckson19@wikimedia.org,6055983744,40047 Raven Drive,183.26
951659,Morrie Dmitrienko,mdmitrienko1a@chicagotribune.com,2339346509,2 Larry Trail,197.7
80657,Eddie Scandred,escandred1b@nifty.com,1496285242,5874 Sunnyside Pass,357.54
730161,Griffy Bogie,gbogie1c@tripod.com,9675629514,691 Dryden Circle,316.15
989511,Gilberta Brigge,gbrigge1d@pbs.org,9103339997,90 Hintze Trail,280.78
